t,name,gvcp_trade,gvcp_prod
2022,Georgia,0.4798787832260132,0.22785982489585876
2000,Kazakhstan,0.5493022799491882,0.427967369556427
2010,Kazakhstan,0.44149166345596313,0.38488662242889404
2022,Kazakhstan,0.4671434760093689,0.2737332284450531
2000,Kyrgyz Republic,0.44517982006073,0.24305099248886108
2010,Kyrgyz Republic,0.45316198468208313,0.19096270203590393
2022,Kyrgyz Republic,0.47546491026878357,0.139912948012352
2000,Malaysia,0.6032813191413879,0.4671950936317444
2010,Malaysia,0.5612930655479431,0.41351568698883057
2022,Malaysia,0.585354745388031,0.3394845724105835
2000,People's Republic of China,0.30693572759628296,0.0813894048333168
2010,People's Republic of China,0.3452787399291992,0.10563857853412628
2022,People's Republic of China,0.35950541496276855,0.08778499811887741
2000,Russian Federation,0.4205416440963745,0.3253720998764038
2010,Russian Federation,0.43428462743759155,0.24310390651226044
2022,Russian Federation,0.4109308421611786,0.22444823384284973
2022,Saudi Arabia,0.3876085877418518,0.30456069111824036
2000,Turkey,0.3144608438014984,0.09816084057092667
2010,Turkey,0.40667539834976196,0.10666677355766296
2022,Turkey,0.5000104904174805,0.16816234588623047
