sector,name,t,PLv_GVC,PLy_GVC
Mining,Norway,2010,3.6256889977630813,3.944417121913344
Mining,Russian Federation,2010,4.061786169348844,4.564215687299438
Mining,United States,2010,4.541864561910161,3.584723353903285
Mining,Kazakhstan,2010,4.24702310098151,3.8154679506968026
Mining,Brunei Darussalam,2010,4.398881812918452,3.939830578464154
Mining,Norway,2022,3.695634352894368,3.8832048285348204
Mining,Russian Federation,2022,4.325647191155976,4.617696172890499
Mining,United States,2022,4.417811794822966,4.06159344102945
Mining,Kazakhstan,2022,4.200371316067167,4.157611490207842
Mining,Brunei Darussalam,2022,4.3294381276645915,4.124285211952169
Metals,PRC,2010,4.956743055854387,4.9664657621964245
Metals,Germany,2010,3.904769094190509,3.895235271611786
Metals,Japan,2010,4.593802525763354,4.417081697685527
Metals,United States,2010,4.09600525661537,4.02573528519765
Metals,Kazakhstan,2010,4.1426736372564275,4.242715326917686
Metals,PRC,2022,4.885002301022776,4.95538834615625
Metals,Germany,2022,3.8525973122902117,3.8292823472030406
Metals,Japan,2022,4.209787798004835,4.291893954448582
Metals,United States,2022,4.06629676604493,4.117456248163859
Metals,Kazakhstan,2022,4.091150435058276,4.101110550938151
