i,s,name,t,PLv_GVC,PLy_GVC
2,33,Norway,2022,3.695634352894368,3.8832048285348204
2,37,Russian Federation,2022,4.325647191155976,4.617696172890499
2,43,United States,2022,4.417811794822966,4.06159344102945
2,49,Kazakhstan,2022,4.200371316067167,4.157611490207842
2,55,Brunei Darussalam,2022,4.3294381276645915,4.124285211952169
2,33,Norway,2010,3.6256889977630813,3.944417121913344
2,37,Russian Federation,2010,4.061786169348844,4.564215687299438
2,43,United States,2010,4.541864561910161,3.584723353903285
2,49,Kazakhstan,2010,4.24702310098151,3.8154679506968026
2,55,Brunei Darussalam,2010,4.398881812918452,3.939830578464154
