name,t,Aggregate,Mining,Metals
Kazakhstan,2007,0.15755323286418524,0.1412364536831546,0.05412359733894353
Kazakhstan,2008,0.12590875762588927,0.3150236145846263,0.23078688202638162
Kazakhstan,2009,-0.07030848963826106,-0.1453511309191054,-0.12391484440333063
Kazakhstan,2010,0.12254561100723549,0.2158174564766035,0.10143301021964955
Kazakhstan,2011,0.07416414162537541,0.08177730167100505,0.07364770377693966
Kazakhstan,2012,0.03608491242709163,0.047446801430197375,0.03773140926826399
Kazakhstan,2013,0.050790434530100986,-0.011955230296193994,0.025321587012582056
Kazakhstan,2014,-0.07556178581750579,-0.08058161883388922,-0.07036891244602661
Kazakhstan,2015,-0.02540833822221506,-0.11821166727464558,-0.058466404185566485
Kazakhstan,2016,-0.24092554235843602,-0.1628182789505837,-0.08862646644234605
Kazakhstan,2017,0.07413040771274054,0.10065082344943493,0.06085728890999396
Kazakhstan,2018,-0.02213110986205526,0.045152626505311384,0.016375305365305126
Kazakhstan,2019,-0.019920357896174648,-0.03344309791528694,-0.022189914048075625
Kazakhstan,2020,0.0030969582878057093,-0.08535676685586006,0.031770592746133836
Kazakhstan,2021,0.006526088531303114,0.11432861661819316,0.06098672028560997
Russian Federation,2007,0.17462606089483687,0.1947559996243236,0.04148162404870548
Russian Federation,2008,0.11797279881678462,0.13158231528284706,0.1399377422250826
Russian Federation,2009,-0.16139411739736156,-0.18024423554280428,-0.15977245034418389
Russian Federation,2010,0.13837738193253513,0.13225033455555138,0.035251804301488165
Russian Federation,2011,0.17769490743244729,0.07380150832390085,-0.055643230767287194
Russian Federation,2012,0.049478864906954204,0.032520190007142465,0.010505250825332067
Russian Federation,2013,0.017654511542798304,-0.0013538755271654736,-0.027776284267662977
Russian Federation,2014,-0.10407476680506325,-0.09455386381584999,-0.03917966715279013
Russian Federation,2015,-0.22148248317560548,-0.17550882490983696,-0.10127091282288818
Russian Federation,2016,-0.055639150023546864,-0.08165283123522113,-0.08540845410960062
Russian Federation,2017,0.20168009808794485,0.2083642439629535,0.14160031438278475
Russian Federation,2018,-0.0226355010869579,0.047926661365056494,0.03218507182657099
Russian Federation,2019,0.01977057230239181,0.004896351070313797,0.008485817511973562
Russian Federation,2020,-0.09628506959195375,-0.14537177944501153,-0.07066470465198367
Russian Federation,2021,0.05959103403590811,0.17599932847815394,0.14002178811089683
