t,i,j,name,v,q
2021,398,40,Austria,1407760.794,  2967890.000
2021,398,156,People's Republic of China,2191628.901,  4492672.000
2021,398,191,Croatia,39709.205,    81588.210
2021,398,203,Czech Republic,582167.861,  1239265.000
2021,398,251,NA,1904331.786,  4151870.000
2021,398,276,Germany,3524995.729,  7501151.000
2021,398,300,Greece,4394429.4,  9622230.000
2021,398,348,Hungary,210893.805,   416853.200
2021,398,380,Italy,936305.304,  1731730.000
2021,398,392,Japan,66090.27,   131977.000
2021,398,410,Republic of Korea,1599087.99,  3352781.000
2021,398,417,Kyrgyz Republic,303.047,      595.282
2021,398,440,Lithuania,1087962.306,  2247692.100
2021,398,528,Netherlands,430709.914,   876546.000
2021,398,616,Poland,697660.73,  1692356.600
2021,398,642,Romania,36906.536,    99755.100
2021,398,643,Russian Federation,125.22,      570.388
2021,398,688,Serbia,204516.052,   376478.000
2021,398,699,India,344945.384,   790859.000
2021,398,703,Slovak Republic,30281.242,    56951.000
2021,398,724,Spain,1546657.42,  3376340.000
2021,398,757,NA,29503.827,    62366.000
2021,398,784,United Arab Emirates,0.405,        1.125
2021,398,842,NA,503631.871,  1201315.755
2021,398,860,Uzbekistan,63939.726,   143216.258
