t,i,j,name,v
2021,398,24,Angola,4.494000000000001
2021,398,31,Azerbaijan,23030.248000000003
2021,398,32,Argentina,82.678
2021,398,36,Australia,18552.164
2021,398,40,Austria,1666.0769999999995
2021,398,51,Armenia,2172.7450000000003
2021,398,56,Belgium,12883.871
2021,398,68,Bolivia (Plurinational State of),55.791
2021,398,70,Bosnia and Herzegovina,31819.742000000002
2021,398,76,Brazil,4545.751000000001
2021,398,100,Bulgaria,18.399
2021,398,112,Belarus,25143.172999999984
2021,398,124,Canada,15029.290999999997
2021,398,152,Chile,9644.542
2021,398,156,People's Republic of China,4058600.6930000004
2021,398,170,Colombia,19.34
2021,398,191,Croatia,2186.965
2021,398,196,Cyprus,0.022000000000000002
2021,398,203,Czech Republic,38813.492000000006
2021,398,208,Denmark,61.464
2021,398,214,Dominican Republic,0.279
2021,398,218,Ecuador,1.951
2021,398,222,El Salvador,203.301
2021,398,233,Estonia,3160.102
2021,398,246,Finland,6550.339999999999
2021,398,251,NA,58746.19800000001
2021,398,268,Georgia,3773.753999999999
2021,398,276,Germany,169968.118
2021,398,300,Greece,269810.81299999997
2021,398,348,Hungary,31.176
2021,398,352,Iceland,5.627
2021,398,360,Indonesia,191788.72999999998
2021,398,372,Ireland,1.0350000000000001
2021,398,376,Israel,460.273
2021,398,380,Italy,298505.1819999999
2021,398,392,Japan,578970.423
2021,398,410,Republic of Korea,228321.40899999999
2021,398,414,Kuwait,47.418
2021,398,417,Kyrgyz Republic,44818.708999999995
2021,398,428,Latvia,976.202
2021,398,440,Lithuania,18785.007
2021,398,442,Luxembourg,0.02
2021,398,458,Malaysia,9238.697
2021,398,470,Malta,0.024
2021,398,484,Mexico,629.204
2021,398,490,"Other Asia, not elsewhere specified",100057.389
2021,398,496,Mongolia,0.132
2021,398,498,"Moldova, Republic of",18.837
2021,398,504,Morocco,76.539
2021,398,512,Oman,22.090999999999998
2021,398,528,Netherlands,16242.213
2021,398,579,NA,8.349
2021,398,586,Pakistan,17881.36
2021,398,600,Paraguay,5.236
2021,398,604,Peru,254.677
2021,398,608,Philippines,2.529
2021,398,616,Poland,15251.465999999999
2021,398,620,Portugal,991.483
2021,398,642,Romania,4174.944
2021,398,643,Russian Federation,2211618.0470000007
2021,398,682,Saudi Arabia,38626.111
2021,398,688,Serbia,19267.913
2021,398,699,India,3894.7940000000003
2021,398,702,Singapore,1.4879999999999998
2021,398,703,Slovak Republic,1121.499
2021,398,704,Viet Nam,41860.863
2021,398,705,Slovenia,14417.636999999999
2021,398,710,South Africa,11055.172
2021,398,724,Spain,49175.90299999999
2021,398,752,Sweden,5356.050000000001
2021,398,757,NA,2402.9780000000005
2021,398,762,Tajikistan,76533.543
2021,398,764,Thailand,14968.280999999999
2021,398,784,United Arab Emirates,516260.41599999997
2021,398,792,Turkey,1138538.4869999997
2021,398,804,Ukraine,93121.189
2021,398,807,North Macedonia,345.876
2021,398,818,Egypt,1640.14
2021,398,826,United Kingdom,2393.2110000000002
2021,398,834,"Tanzania, United Republic of",0.264
2021,398,842,NA,363964.55100000004
2021,398,860,Uzbekistan,535106.8540000009
